timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276274,12398705446,7019.92,46.117,51.094,16
1775276275,12398714792,9345.98,57.947,95.062,19
1775276276,12398722566,7774.09,60.753,107.031,19
1775276277,12398729242,6675.99,106.932,115.031,19
1775276278,12398736089,6846.99,98.965,119.000,19
1775276279,12398743279,7190.01,87.312,118.969,19
1775276280,12398749629,6350.01,82.553,118.969,19
1775276281,12398757529,7899.93,80.339,118.938,19
1775276282,12398764671,7142.07,66.167,118.938,19
1775276283,12398771449,6777.99,66.649,118.906,19
1775276284,12398777520,6070.96,60.272,118.906,19
1775276285,12398783894,6374.00,106.098,118.906,19
1775276286,12398791630,7736.06,93.448,118.906,19
1775276287,12398798921,7291.00,90.181,118.906,19
1775276288,12398806305,7383.92,86.109,118.906,19
1775276289,12398813598,7293.07,79.352,118.906,19
1775276290,12398820338,6740.00,75.629,118.906,19
1775276291,12398827754,7415.97,75.084,118.906,19
1775276292,12398835223,7469.02,69.335,118.906,19
1775276293,12398842100,6877.01,58.343,118.906,19
1775276294,12398850062,7962.00,59.112,118.875,19
1775276295,12398856515,6453.00,104.857,118.875,19
1775276296,12398863601,7085.97,91.474,118.875,19
1775276297,12398870565,6964.03,87.758,118.875,19
1775276298,12398876683,6117.93,84.193,118.875,19
1775276299,12398883999,7316.04,82.794,118.875,19
1775276300,12398891302,7302.99,78.375,118.875,19
1775276301,12398898715,7413.03,72.668,118.875,19
1775276302,12398905550,6835.01,62.440,118.875,19
1775276303,12398912086,6535.99,58.437,118.875,19
