timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276241,12398459418,6363.52,45.947,51.094,16
1775276242,12398468263,8845.02,55.358,95.031,19
1775276243,12398476219,7955.90,53.678,107.000,19
1775276244,12398483895,7676.02,56.241,107.031,19
1775276245,12398491371,7476.00,102.094,107.031,19
1775276246,12398498216,6845.05,89.118,115.000,19
1775276247,12398505232,7016.00,85.655,115.000,19
1775276248,12398513514,8281.97,82.263,115.000,19
1775276249,12398521594,8080.03,77.820,114.969,19
1775276250,12398533245,11650.94,74.360,114.969,19
1775276251,12398540240,6995.03,73.847,114.969,19
1775276252,12398546837,6597.00,64.101,114.969,19
1775276253,12398553988,7150.99,64.915,114.969,19
1775276254,12398563260,9271.97,52.359,118.938,19
1775276255,12398571145,7885.04,98.273,118.938,19
1775276256,12398577782,6637.01,100.572,118.938,19
1775276257,12398583740,5957.97,91.586,118.938,19
1775276258,12398590677,6936.97,80.637,118.938,19
1775276259,12398597544,6866.99,75.406,118.938,19
1775276260,12398605082,7537.54,65.890,118.938,19
1775276261,12398611876,6794.44,66.421,118.906,19
1775276262,12398617238,5361.98,54.866,118.906,19
1775276263,12398624976,7738.08,51.800,118.875,19
1775276264,12398632770,7793.95,98.171,118.906,19
1775276265,12398640395,7625.04,95.249,118.875,19
1775276266,12398648108,7713.01,91.648,118.875,19
1775276267,12398654744,6635.99,88.954,118.875,19
1775276268,12398662053,7309.01,83.025,118.875,19
1775276269,12398669435,7381.93,79.506,118.875,19
