timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276307,12398940742,5824.50,45.934,55.125,16
1775276308,12398948810,8068.07,55.925,99.062,19
1775276309,12398955984,7173.94,54.484,107.031,19
1775276310,12398963113,7129.02,51.177,107.031,19
1775276311,12398969371,6257.98,97.023,107.031,19
1775276312,12398976372,7001.06,94.310,111.000,19
1775276313,12398982983,6611.00,92.109,110.969,19
1775276314,12398991588,8605.00,88.067,110.969,19
1775276315,12398998457,6868.89,84.201,110.938,19
1775276316,12399005929,7472.09,79.761,114.906,19
1775276317,12399012648,6718.98,75.604,114.906,19
1775276318,12399019389,6740.99,69.586,114.875,19
1775276319,12399026676,7287.00,63.353,118.875,19
1775276320,12399034062,7385.97,51.310,118.875,19
1775276321,12399041821,7759.09,97.512,118.875,19
1775276322,12399048669,6847.92,94.703,118.875,19
1775276323,12399055546,6877.09,91.471,118.875,19
1775276324,12399063271,7724.97,87.539,118.844,19
1775276325,12399070382,7110.93,83.438,118.844,19
1775276326,12399076430,6048.07,78.566,118.844,19
1775276327,12399083195,6764.97,70.098,118.844,19
1775276328,12399089845,6650.00,66.445,118.844,19
1775276329,12399097340,7495.02,62.536,118.844,19
1775276330,12399104254,6913.97,59.135,118.844,19
1775276331,12399111690,7436.06,60.072,118.844,19
1775276332,12399119300,7609.95,105.744,118.844,19
1775276333,12399125463,6162.99,93.046,118.875,19
1775276334,12399134170,8707.05,89.053,118.875,19
1775276335,12399141195,7025.01,83.117,118.875,19
1775276336,12399147620,6424.93,81.385,118.844,19
