timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276341,12399175986,6511.89,46.238,55.062,16
1775276342,12399184971,8984.89,62.244,91.000,19
1775276343,12399191466,6495.11,62.777,103.000,19
1775276344,12399198934,7467.95,59.370,106.969,19
1775276345,12399206232,7298.00,55.294,106.969,19
1775276346,12399212428,6195.99,56.866,106.969,19
1775276347,12399219159,6731.03,103.165,110.969,19
1775276348,12399226328,7169.03,90.759,118.938,19
1775276349,12399232740,6412.00,87.056,118.906,19
1775276350,12399239853,7113.01,80.767,118.906,19
1775276351,12399245879,6026.00,77.140,118.906,19
1775276352,12399253439,7560.00,76.502,118.906,19
1775276353,12399266429,12989.97,67.602,118.906,19
1775276354,12399293156,26727.05,68.140,118.906,19
1775276355,12399405041,111884.97,62.173,118.906,19
1775276356,12399535893,130851.11,108.359,118.906,19
1775276357,12399546338,10444.97,100.874,118.906,19
1775276358,12399555800,9462.03,88.581,118.906,19
1775276359,12399566358,10558.00,88.021,118.875,19
1775276360,12399575420,9061.96,74.983,118.875,19
1775276361,12399587499,12079.13,74.686,118.875,19
1775276362,12399607931,20432.00,69.097,118.875,19
1775276363,12399616142,8210.95,62.436,118.875,19
1775276364,12399630035,13893.09,108.182,118.875,19
1775276365,12399744372,114336.23,95.588,118.875,19
1775276366,12399750783,6411.04,92.125,118.875,19
1775276367,12399757899,7116.00,89.856,118.875,19
1775276368,12399765135,7236.00,85.435,118.875,19
1775276369,12399772662,7526.99,81.007,118.875,19
1775276370,12399781890,9227.98,73.053,118.875,19
