timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276420,12400300334,7277.95,119.893,127.156,16
1775276421,12400311140,10805.95,166.868,175.125,19
1775276422,12400323087,11947.03,162.861,183.094,19
1775276423,12400332851,9764.02,208.990,219.094,19
1775276424,12400343399,10548.00,136.783,255.094,19
1775276425,12400352518,9118.99,182.061,255.094,19
1775276426,12400362251,9732.96,228.208,255.094,19
1775276427,12400373488,11237.06,147.944,267.062,19
1775276428,12400386362,12873.89,193.565,267.062,19
1775276429,12400396686,10324.08,239.802,267.062,19
1775276430,12400408860,12174.01,161.188,267.062,19
1775276431,12400419931,11070.93,206.904,267.062,19
1775276432,12400431735,11804.07,253.127,267.062,19
1775276433,12400441510,9774.93,169.778,271.062,19
1775276434,12400452678,11168.03,215.421,271.062,19
1775276435,12400460115,7436.98,129.257,271.062,19
1775276436,12400467513,7397.97,174.525,271.062,19
1775276437,12400476201,8688.05,220.247,271.062,19
1775276438,12400485796,9594.99,147.934,271.000,19
1775276439,12400492729,6933.04,193.793,271.031,19
1775276440,12400499744,7015.00,239.864,271.031,19
1775276441,12400509374,9630.00,163.900,271.031,19
1775276442,12400518386,9011.96,209.252,271.031,19
1775276443,12400526303,7917.03,254.889,271.031,19
1775276444,12400538004,11700.94,174.689,271.031,19
1775276445,12400545645,7641.05,220.478,271.031,19
1775276446,12400556773,11128.01,135.467,271.031,19
1775276447,12400570568,13794.90,181.110,271.031,19
1775276448,12400581749,11181.03,226.974,271.031,19
