timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276387,12399967078,11594.37,119.886,127.156,16
1775276388,12399978104,11026.02,166.453,175.094,19
1775276389,12399992590,14485.97,157.989,195.062,19
1775276390,12400005297,12707.01,203.277,211.062,19
1775276391,12400016438,11141.00,130.053,259.031,19
1775276392,12400029898,13459.92,176.372,259.031,19
1775276393,12400042411,12513.07,221.720,259.031,19
1775276394,12400059730,17318.79,142.345,263.031,19
1775276395,12400072554,12824.17,188.497,263.031,19
1775276396,12400085085,12531.01,234.288,263.031,19
1775276397,12400097913,12827.89,155.974,263.031,19
1775276398,12400110912,12999.01,201.686,263.031,19
1775276399,12400122322,11410.03,247.912,263.031,19
1775276400,12400135407,13084.94,158.988,271.000,19
1775276401,12400148120,12713.11,204.692,271.000,19
1775276402,12400159128,11007.93,126.856,271.000,19
1775276403,12400167993,8865.05,173.005,271.000,19
1775276404,12400177719,9726.01,218.307,271.000,19
1775276405,12400185788,8068.98,155.779,271.000,19
1775276406,12400192089,6301.01,201.642,271.000,19
1775276407,12400199367,7277.96,247.356,271.000,19
1775276408,12400209261,9894.06,153.861,279.000,19
1775276409,12400216282,7021.01,200.068,279.000,19
1775276410,12400223198,6916.00,245.440,279.000,19
1775276411,12400229868,6670.00,165.114,279.000,19
1775276412,12400238005,8137.01,210.916,279.000,19
1775276413,12400244845,6839.97,256.275,279.000,19
1775276414,12400256743,11897.97,171.067,279.000,19
1775276415,12400263851,7108.04,216.855,279.000,19
