timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276453,12400648348,10433.72,119.897,127.094,16
1775276454,12400663165,14817.00,166.447,175.062,19
1775276455,12400676212,13046.99,147.838,199.062,19
1775276456,12400686537,10324.98,193.907,203.062,19
1775276457,12400695934,9396.94,239.265,247.062,19
1775276458,12400708023,12089.11,164.573,255.031,19
1775276459,12400720383,12359.93,210.352,255.031,19
1775276460,12400735142,14758.89,143.679,255.000,19
1775276461,12400746512,11370.14,189.401,255.000,19
1775276462,12400755643,9130.97,235.187,255.000,19
1775276463,12400765975,10331.35,142.019,275.000,19
1775276464,12400773659,7684.49,187.802,275.000,19
1775276465,12400780440,6781.03,233.599,275.000,19
1775276466,12400788054,7613.94,163.360,275.000,19
1775276467,12400794926,6871.97,208.987,275.000,19
1775276468,12400800857,5931.07,254.707,275.000,19
1775276469,12400807836,6979.01,169.664,275.000,19
1775276470,12400822094,14257.99,215.969,275.000,19
1775276471,12400831368,9273.99,149.166,275.000,19
1775276472,12400839367,7999.00,194.532,275.000,19
1775276473,12400846494,7126.96,240.591,275.000,19
1775276474,12400856043,9549.06,156.202,275.000,19
1775276475,12400862813,6769.99,201.389,275.000,19
1775276476,12400869566,6753.00,247.179,275.000,19
1775276477,12400875973,6407.01,166.995,275.000,19
1775276478,12400882848,6874.99,212.708,275.000,19
1775276479,12400889853,7005.00,258.779,275.000,19
1775276480,12400897633,7780.01,173.286,275.000,19
1775276481,12400904624,6991.00,218.931,275.000,19
1775276482,12400910827,6203.00,264.789,275.000,19
