timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276487,12400939371,5624.64,119.979,127.094,16
1775276488,12400947459,8088.00,166.447,171.062,19
1775276489,12400954287,6827.93,147.854,199.031,19
1775276490,12400961917,7630.08,193.653,199.031,19
1775276491,12400968309,6392.00,239.288,247.031,19
1775276492,12400974640,6330.96,163.521,259.031,19
1775276493,12400981936,7295.98,209.672,259.031,19
1775276494,12400988534,6598.05,255.031,263.031,19
1775276495,12400997353,8818.95,174.972,263.000,19
1775276496,12401003577,6224.05,221.043,263.000,19
1775276497,12401011236,7658.99,135.295,263.000,19
1775276498,12401017953,6717.00,181.007,263.000,19
1775276499,12401024917,6963.99,226.796,263.000,19
1775276500,12401032697,7780.00,158.900,263.000,19
1775276501,12401039627,6930.00,204.539,263.000,19
1775276502,12401046048,6420.99,250.251,263.000,19
1775276503,12401052427,6378.97,161.266,267.000,19
1775276504,12401059554,7127.04,206.617,267.000,19
1775276505,12401065591,6037.00,136.361,267.000,19
1775276506,12401072637,7046.00,182.075,267.000,19
1775276507,12401078417,5780.01,228.216,267.000,19
1775276508,12401085498,7081.00,145.680,267.000,19
1775276509,12401092815,7316.96,191.390,267.000,19
1775276510,12401099983,7168.00,237.449,267.000,19
1775276511,12401107012,7029.04,157.028,267.031,19
1775276512,12401114589,7577.00,202.817,267.031,19
1775276513,12401134977,20387.97,134.432,266.938,19
1775276514,12401146110,11132.99,180.170,266.938,19
1775276515,12401155740,9629.96,226.313,266.938,19
