timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276596,12402005955,7638.91,90.839,95.031,16
1775276597,12402015742,9786.96,122.973,166.969,19
1775276598,12402025822,10079.97,123.828,198.969,19
1775276599,12402036229,10407.00,118.207,202.938,19
1775276600,12402047857,11628.04,121.706,206.906,19
1775276601,12402057241,9383.95,213.447,218.906,19
1775276602,12402066987,9746.03,199.888,222.875,19
1775276603,12402076839,9852.02,183.059,226.875,19
1775276604,12402086083,9243.99,155.758,226.812,19
1775276605,12402097999,11915.90,155.488,226.781,19
1775276606,12402107905,9906.11,139.741,226.781,19
1775276607,12402117910,10004.86,140.578,226.781,19
1775276608,12402127125,9215.14,120.399,226.781,19
1775276609,12402136274,9148.94,113.467,226.781,19
1775276610,12402146701,10427.01,107.573,226.781,19
1775276611,12402157982,11280.93,111.597,226.750,19
1775276612,12402169692,11710.01,203.353,226.781,19
1775276613,12402180098,10406.10,177.349,226.781,19
1775276614,12402193182,13083.90,171.957,226.781,19
1775276615,12402203553,10371.08,166.279,226.781,19
1775276616,12402212260,8707.00,163.627,226.781,19
1775276617,12402224093,11832.84,155.160,226.781,19
1775276618,12402233875,9782.15,138.550,226.781,19
1775276619,12402243299,9423.89,139.327,226.781,19
1775276620,12402255078,11779.13,126.471,226.781,19
1775276621,12402267577,12498.92,113.621,226.781,19
1775276622,12402278935,11358.06,205.202,226.781,19
1775276623,12402290741,11805.98,178.927,226.781,19
1775276624,12402301496,10755.04,175.512,226.781,19
